DGRP	sex	Abs_volumemm3	H-Ratio
DGRP_359	M	0.0246997432	0.02364966556
DGRP_832	M	0.0272056575	0.02611655721
DGRP_176	M	0.0274855377	0.02608291281
DGRP_365	F	0.028210481	0.02295317493
DGRP_359	F	0.0286363201	0.02805822547
DGRP_091	F	0.0298903013	0.0274585109
DGRP_176	F	0.0318853237	0.02891566473
DGRP_790	M	0.0318944865	0.03189611022
DGRP_850	F	0.0339360418	0.02980242673
DGRP_790	F	0.0362970393	0.03094800402
